attr	element	anim	treatValueAs
amplitude	feFuncR	TRUE	ignore
azimuth	feDistantLight	TRUE	ignore
baseFrequency	feTurbulence	TRUE	number-optional-number
bias	feConvolveMatrix	TRUE	ignore
diffuseConstant	feDiffuseLighting	TRUE	ignore
divisor	feConvolveMatrix	TRUE	ignore
dx	feOffset	TRUE	ignore
dy	feOffset	TRUE	ignore
edgeMode	feConvolveMatrix	TRUE	ignore
elevation	feDistantLight	TRUE	ignore
exponent	feFuncA	TRUE	ignore
exponent	feFuncB	TRUE	ignore
exponent	feFuncG	TRUE	ignore
exponent	feFuncR	TRUE	ignore
filterRes	filter	TRUE	number-optional-number
filterUnits	filter	TRUE	ignore
height	filter	TRUE	ignore
height	feBlend	TRUE	ignore
height	feColorMatrix	TRUE	ignore
height	feComponentTransfer	TRUE	ignore
height	feComposite	TRUE	ignore
height	feConvolveMatrix	TRUE	ignore
height	feDiffuseLighting	TRUE	ignore
height	feDisplacementMap	TRUE	ignore
height	feFlood	TRUE	ignore
height	feGaussianBlur	TRUE	ignore
height	feImage	TRUE	ignore
height	feMerge	TRUE	ignore
height	feMorphology	TRUE	ignore
height	feOffset	TRUE	ignore
height	feSpecularLighting	TRUE	ignore
height	feTile	TRUE	ignore
height	feTurbulence	TRUE	ignore
in	feBlend	TRUE	ignore
in	feColorMatrix	TRUE	ignore
in	feComponentTransfer	TRUE	ignore
in	feComposite	TRUE	ignore
in	feConvolveMatrix	TRUE	ignore
in	feDiffuseLighting	TRUE	ignore
in	feDisplacementMap	TRUE	ignore
in	feGaussianBlur	TRUE	ignore
in	feMorphology	TRUE	ignore
in	feOffset	TRUE	ignore
in	feSpecularLighting	TRUE	ignore
in	feTile	TRUE	ignore
in2	feBlend	TRUE	ignore
in2	feComposite	TRUE	ignore
in2	feDisplacementMap	TRUE	ignore
intercept	feFuncA	TRUE	ignore
intercept	feFuncB	TRUE	ignore
intercept	feFuncG	TRUE	ignore
intercept	feFuncR	TRUE	ignore
k1	feComposite	TRUE	ignore
k2	feComposite	TRUE	ignore
k3	feComposite	TRUE	ignore
k4	feComposite	TRUE	ignore
kernelMatrix	feConvolveMatrix	TRUE	wsp-list
kernelUnitLength	feConvolveMatrix	TRUE	number-optional-number
kernelUnitLength	feDiffuseLighting	TRUE	number-optional-number
kernelUnitLength	feSpecularLighting	TRUE	number-optional-number
limitingConeAngle	feSpotLight	TRUE	ignore
mode	feBlend	TRUE	ignore
numOctaves	feTurbulence	TRUE	ignore
offset	feFuncA	TRUE	ignore
offset	feFuncB	TRUE	ignore
offset	feFuncG	TRUE	ignore
offset	feFuncR	TRUE	ignore
operator	feComposite	TRUE	ignore
operator	feMorphology	TRUE	ignore
order	feConvolveMatrix	TRUE	number-optional-number
pointsAtX	feSpotLight	TRUE	ignore
pointsAtY	feSpotLight	TRUE	ignore
pointsAtZ	feSpotLight	TRUE	ignore
preserveAlpha	feConvolveMatrix	TRUE	ignore
primitiveUnits	filter	TRUE	ignore
radius	feMorphology	TRUE	number-optional-number
result	feBlend	TRUE	ignore
result	feColorMatrix	TRUE	ignore
result	feComponentTransfer	TRUE	ignore
result	feComposite	TRUE	ignore
result	feConvolveMatrix	TRUE	ignore
result	feDiffuseLighting	TRUE	ignore
result	feDisplacementMap	TRUE	ignore
result	feFlood	TRUE	ignore
result	feGaussianBlur	TRUE	ignore
result	feImage	TRUE	ignore
result	feMerge	TRUE	ignore
result	feMorphology	TRUE	ignore
result	feOffset	TRUE	ignore
result	feSpecularLighting	TRUE	ignore
result	feTile	TRUE	ignore
result	feTurbulence	TRUE	ignore
scale	feDisplacementMap	TRUE	ignore
seed	feTurbulence	TRUE	ignore
slope	feFuncA	TRUE	ignore
slope	feFuncB	TRUE	ignore
slope	feFuncG	TRUE	ignore
slope	feFuncR	TRUE	ignore
specularConstant	feSpecularLighting	TRUE	ignore
specularExponent	feSpecularLighting	TRUE	ignore
specularExponent	feSpotLight	TRUE	ignore
stdDeviation	feGaussianBlur	TRUE	number-optional-number
stitchTiles	feTurbulence	TRUE	ignore
surfaceScale	feDiffuseLighting	TRUE	ignore
surfaceScale	feSpecularLighting	TRUE	ignore
tableValues	feFuncA	TRUE	ignore
tableValues	feFuncB	TRUE	ignore
tableValues	feFuncG	TRUE	ignore
tableValues	feFuncR	TRUE	ignore
targetX	feConvolveMatrix	TRUE	ignore
targetY	feConvolveMatrix	TRUE	ignore
type	feColorMatrix	TRUE	ignore
type	feTurbulence	TRUE	ignore
type	feFuncA	TRUE	ignore
type	feFuncB	TRUE	ignore
type	feFuncG	TRUE	ignore
type	feFuncR	TRUE	ignore
values	feColorMatrix	TRUE	ignore
width	filter	TRUE	ignore
width	feBlend	TRUE	ignore
width	feColorMatrix	TRUE	ignore
width	feComponentTransfer	TRUE	ignore
width	feComposite	TRUE	ignore
width	feConvolveMatrix	TRUE	ignore
width	feDiffuseLighting	TRUE	ignore
width	feDisplacementMap	TRUE	ignore
width	feFlood	TRUE	ignore
width	feGaussianBlur	TRUE	ignore
width	feImage	TRUE	ignore
width	feMerge	TRUE	ignore
width	feMorphology	TRUE	ignore
width	feOffset	TRUE	ignore
width	feSpecularLighting	TRUE	ignore
width	feTile	TRUE	ignore
width	feTurbulence	TRUE	ignore
x	fePointLight	TRUE	ignore
x	feSpotLight	TRUE	ignore
x	filter	TRUE	ignore
x	feBlend	TRUE	ignore
x	feColorMatrix	TRUE	ignore
x	feComponentTransfer	TRUE	ignore
x	feComposite	TRUE	ignore
x	feConvolveMatrix	TRUE	ignore
x	feDiffuseLighting	TRUE	ignore
x	feDisplacementMap	TRUE	ignore
x	feFlood	TRUE	ignore
x	feGaussianBlur	TRUE	ignore
x	feImage	TRUE	ignore
x	feMerge	TRUE	ignore
x	feMorphology	TRUE	ignore
x	feOffset	TRUE	ignore
x	feSpecularLighting	TRUE	ignore
x	feTile	TRUE	ignore
x	feTurbulence	TRUE	ignore
xChannelSelector	feDisplacementMap	TRUE	ignore
xlink:href	feImage	TRUE	ignore
xlink:href	filter	TRUE	ignore
y	fePointLight	TRUE	ignore
y	feSpotLight	TRUE	ignore
y	filter	TRUE	ignore
y	feBlend	TRUE	ignore
y	feColorMatrix	TRUE	ignore
y	feComponentTransfer	TRUE	ignore
y	feComposite	TRUE	ignore
y	feConvolveMatrix	TRUE	ignore
y	feDiffuseLighting	TRUE	ignore
y	feDisplacementMap	TRUE	ignore
y	feFlood	TRUE	ignore
y	feGaussianBlur	TRUE	ignore
y	feImage	TRUE	ignore
y	feMerge	TRUE	ignore
y	feMorphology	TRUE	ignore
y	feOffset	TRUE	ignore
y	feSpecularLighting	TRUE	ignore
y	feTile	TRUE	ignore
y	feTurbulence	TRUE	ignore
yChannelSelector	feDisplacementMap	TRUE	ignore
z	fePointLight	TRUE	ignore
z	feSpotLight	TRUE	ignore
baseProfile	svg	FALSE	ignore
externalResourcesRequired	a	FALSE	ignore
externalResourcesRequired	altGlyph	FALSE	ignore
externalResourcesRequired	animate	FALSE	ignore
externalResourcesRequired	animateColor	FALSE	ignore
externalResourcesRequired	animateMotion	FALSE	ignore
externalResourcesRequired	animateTransform	FALSE	ignore
externalResourcesRequired	circle	FALSE	ignore
externalResourcesRequired	clipPath	FALSE	ignore
externalResourcesRequired	cursor	FALSE	ignore
externalResourcesRequired	defs	FALSE	ignore
externalResourcesRequired	ellipse	FALSE	ignore
externalResourcesRequired	feImage	FALSE	ignore
externalResourcesRequired	filter	FALSE	ignore
externalResourcesRequired	font	FALSE	ignore
externalResourcesRequired	foreignObject	FALSE	ignore
externalResourcesRequired	g	FALSE	ignore
externalResourcesRequired	image	FALSE	ignore
externalResourcesRequired	line	FALSE	ignore
externalResourcesRequired	linearGradient	FALSE	ignore
externalResourcesRequired	marker	FALSE	ignore
externalResourcesRequired	mask	FALSE	ignore
externalResourcesRequired	mpath	FALSE	ignore
externalResourcesRequired	path	FALSE	ignore
externalResourcesRequired	pattern	FALSE	ignore
externalResourcesRequired	polygon	FALSE	ignore
externalResourcesRequired	polyline	FALSE	ignore
externalResourcesRequired	radialGradient	FALSE	ignore
externalResourcesRequired	rect	FALSE	ignore
externalResourcesRequired	script	FALSE	ignore
externalResourcesRequired	set	FALSE	ignore
externalResourcesRequired	svg	FALSE	ignore
externalResourcesRequired	switch	FALSE	ignore
externalResourcesRequired	symbol	FALSE	ignore
externalResourcesRequired	text	FALSE	ignore
externalResourcesRequired	textPath	FALSE	ignore
externalResourcesRequired	tref	FALSE	ignore
externalResourcesRequired	tspan	FALSE	ignore
externalResourcesRequired	use	FALSE	ignore
externalResourcesRequired	view	FALSE	ignore
height	image	TRUE	ignore
height	svg	TRUE	ignore
height	use	TRUE	ignore
id	a	FALSE	ignore
id	altGlyph	FALSE	ignore
id	altGlyphDef	FALSE	ignore
id	altGlyphItem	FALSE	ignore
id	animate	FALSE	ignore
id	animateColor	FALSE	ignore
id	animateMotion	FALSE	ignore
id	animateTransform	FALSE	ignore
id	circle	FALSE	ignore
id	clipPath	FALSE	ignore
