attr	element	anim	link	page	loc	val	lnk	treatValueAs
strikethrough-position	font-face	FALSE	fonts.html#FontFaceElementStrikeThroughPositionAttribute	fonts.html	FontFaceElementStrikeThroughPositionAttribute	<number>	types.html#DataTypeNumber	ignore
strikethrough-thickness	font-face	FALSE	fonts.html#FontFaceElementStrikeThroughThicknessAttribute	fonts.html	FontFaceElementStrikeThroughThicknessAttribute	<number>	types.html#DataTypeNumber	ignore
string	font-face-format	FALSE	fonts.html#FontFaceFormatElementStringAttribute	fonts.html	FontFaceFormatElementStringAttribute	<anything>	types.html#DataTypeAnything	ignore
u1	hkern	FALSE	fonts.html#HKernElementU1Attribute	fonts.html	HKernElementU1Attribute	[<character> | <urange> ] [, [<character> | <urange>] ]*	NA	ignore
u1	vkern	FALSE	fonts.html#HKernElementU1Attribute	fonts.html	HKernElementU1Attribute	[<character> | <urange> ] [, [<character> | <urange>] ]*	NA	ignore
u2	hkern	FALSE	fonts.html#HKernElementU2Attribute	fonts.html	HKernElementU2Attribute	[<character> | <urange>] [, [<character> | <urange>] ]*	NA	ignore
u2	vkern	FALSE	fonts.html#HKernElementU2Attribute	fonts.html	HKernElementU2Attribute	[<character> | <urange>] [, [<character> | <urange>] ]*	NA	ignore
underline-position	font-face	FALSE	fonts.html#FontFaceElementUnderlinePositionAttribute	fonts.html	FontFaceElementUnderlinePositionAttribute	<number>	types.html#DataTypeNumber	ignore
underline-thickness	font-face	FALSE	fonts.html#FontFaceElementUnderlineThicknessAttribute	fonts.html	FontFaceElementUnderlineThicknessAttribute	<number>	types.html#DataTypeNumber	ignore
unicode	glyph	FALSE	fonts.html#GlyphElementUnicodeAttribute	fonts.html	GlyphElementUnicodeAttribute	<string>	NA	cmm-list {4}
unicode-range	font-face	FALSE	fonts.html#FontFaceElementUnicodeRangeAttribute	fonts.html	FontFaceElementUnicodeRangeAttribute	<urange> [, <urange>]*	NA	cmm-list
units-per-em	font-face	FALSE	fonts.html#FontFaceElementUnitsPerEmAttribute	fonts.html	FontFaceElementUnitsPerEmAttribute	<number>	types.html#DataTypeNumber	ignore
