attr	variable	value
image-rendering	Value	auto 
image-rendering	Value	 optimizeSpeed 
image-rendering	Value	 optimizeQuality 
image-rendering	Value	 inherit
color	Value	<color> 
color	Value	 inherit
src descriptor definition for @color-profile	Value	sRGB 
src descriptor definition for @color-profile	Value	 <local-profile> 
src descriptor definition for @color-profile	Value	 <iri> 
src descriptor definition for @color-profile	Value	 (<local-profile> <iri>) 
src descriptor definition for @color-profile	Value	 inherit
name descriptor definition for @color-profile	Value	<name>
rendering-intent descriptor definition for @color-profile	Value	auto 
rendering-intent descriptor definition for @color-profile	Value	 perceptual 
rendering-intent descriptor definition for @color-profile	Value	 relative-colorimetric 
rendering-intent descriptor definition for @color-profile	Value	 saturation 
rendering-intent descriptor definition for @color-profile	Value	 absolute-colorimetric
color-profile	Value	auto 
color-profile	Value	 sRGB 
color-profile	Value	 <name> 
color-profile	Value	 <iri> 
color-profile	Value	 inherit
pointer-events	Value	visiblePainted 
pointer-events	Value	 visibleFill 
pointer-events	Value	 visibleStroke 
pointer-events	Value	 visible 
pointer-events	Value	 painted 
pointer-events	Value	 fill 
pointer-events	Value	 stroke 
pointer-events	Value	 all 
pointer-events	Value	 none 
pointer-events	Value	 inherit
cursor	Value	[ [<funciri> ,]* [ auto | crosshair | default | pointer | move | e-resize | ne-resize | nw-resize | n-resize | se-resize | sw-resize | s-resize | w-resize| text | wait | help ] ] | inherit
filter	Value	<funciri> 
filter	Value	 none 
filter	Value	 inherit
enable-background	Value	accumulate | new [ <x> <y> <width> <height> ] | inherit
lighting-color	Value	currentColor |<color> [<icccolor>] | inherit
flood-color	Value	currentColor |<color> [<icccolor>] | inherit
flood-opacity	Value	<opacity-value> 
flood-opacity	Value	 inherit
stop-color	Value	currentColor 
stop-color	Value	<color> <icccolor> 
stop-color	Value	 inherit
stop-opacity	Value	<opacity-value> 
stop-opacity	Value	 inherit
writing-mode	Applies to	text
glyph-orientation-vertical	Applies to	altGlyph
glyph-orientation-vertical	Applies to	textPath
glyph-orientation-vertical	Applies to	text
glyph-orientation-vertical	Applies to	tref
glyph-orientation-vertical	Applies to	tspan
glyph-orientation-horizontal	Applies to	altGlyph
glyph-orientation-horizontal	Applies to	textPath
glyph-orientation-horizontal	Applies to	text
glyph-orientation-horizontal	Applies to	tref
glyph-orientation-horizontal	Applies to	tspan
direction	Applies to	altGlyph
direction	Applies to	textPath
direction	Applies to	text
direction	Applies to	tref
direction	Applies to	tspan
unicode-bidi	Applies to	altGlyph
unicode-bidi	Applies to	textPath
unicode-bidi	Applies to	text
unicode-bidi	Applies to	tref
unicode-bidi	Applies to	tspan
text-anchor	Applies to	altGlyph
text-anchor	Applies to	textPath
text-anchor	Applies to	text
text-anchor	Applies to	tref
text-anchor	Applies to	tspan
dominant-baseline	Applies to	altGlyph
dominant-baseline	Applies to	textPath
dominant-baseline	Applies to	text
dominant-baseline	Applies to	tref
dominant-baseline	Applies to	tspan
alignment-baseline	Applies to	tspan
alignment-baseline	Applies to	tref
alignment-baseline	Applies to	altGlyph
alignment-baseline	Applies to	textPath
baseline-shift	Applies to	tspan
baseline-shift	Applies to	tref
baseline-shift	Applies to	altGlyph
baseline-shift	Applies to	textPath
font-family	Applies to	altGlyph
font-family	Applies to	textPath
font-family	Applies to	text
font-family	Applies to	tref
font-family	Applies to	tspan
font-style	Applies to	altGlyph
font-style	Applies to	textPath
font-style	Applies to	text
font-style	Applies to	tref
font-style	Applies to	tspan
font-variant	Applies to	altGlyph
font-variant	Applies to	textPath
font-variant	Applies to	text
font-variant	Applies to	tref
font-variant	Applies to	tspan
font-weight	Applies to	altGlyph
font-weight	Applies to	textPath
font-weight	Applies to	text
font-weight	Applies to	tref
font-weight	Applies to	tspan
font-stretch	Applies to	altGlyph
font-stretch	Applies to	textPath
font-stretch	Applies to	text
font-stretch	Applies to	tref
font-stretch	Applies to	tspan
font-size	Applies to	altGlyph
font-size	Applies to	textPath
font-size	Applies to	text
font-size	Applies to	tref
font-size	Applies to	tspan
font-size-adjust	Applies to	altGlyph
font-size-adjust	Applies to	textPath
font-size-adjust	Applies to	text
font-size-adjust	Applies to	tref
font-size-adjust	Applies to	tspan
font	Applies to	altGlyph
font	Applies to	textPath
font	Applies to	text
font	Applies to	tref
font	Applies to	tspan
kerning	Applies to	altGlyph
kerning	Applies to	textPath
kerning	Applies to	text
kerning	Applies to	tref
kerning	Applies to	tspan
letter-spacing	Applies to	altGlyph
letter-spacing	Applies to	textPath
letter-spacing	Applies to	text
letter-spacing	Applies to	tref
letter-spacing	Applies to	tspan
word-spacing	Applies to	altGlyph
word-spacing	Applies to	textPath
word-spacing	Applies to	text
word-spacing	Applies to	tref
word-spacing	Applies to	tspan
text-decoration	Applies to	altGlyph
text-decoration	Applies to	textPath
text-decoration	Applies to	text
text-decoration	Applies to	tref
text-decoration	Applies to	tspan
overflow	Applies to	pattern
overflow	Applies to	marker
overflow	Applies to	svg
overflow	Applies to	symbol
overflow	Applies to	image
overflow	Applies to	foreignObject
clip	Applies to	pattern
clip	Applies to	marker
clip	Applies to	svg
clip	Applies to	symbol
clip	Applies to	image
clip	Applies to	foreignObject
clip-path	Applies to	a
clip-path	Applies to	defs
clip-path	Applies to	glyph
clip-path	Applies to	g
clip-path	Applies to	marker
clip-path	Applies to	mask
clip-path	Applies to	missing-glyph
clip-path	Applies to	pattern
clip-path	Applies to	svg
clip-path	Applies to	switch
clip-path	Applies to	symbol
clip-path	Applies to	circle
clip-path	Applies to	ellipse
clip-path	Applies to	image
clip-path	Applies to	line
clip-path	Applies to	path
clip-path	Applies to	polygon
clip-path	Applies to	polyline
clip-path	Applies to	rect
clip-path	Applies to	text
clip-path	Applies to	use
clip-path	Applies to	clipPath
clip-rule	Applies to	circle
clip-rule	Applies to	ellipse
clip-rule	Applies to	image
clip-rule	Applies to	line
clip-rule	Applies to	path
clip-rule	Applies to	polygon
clip-rule	Applies to	polyline
clip-rule	Applies to	rect
clip-rule	Applies to	text
clip-rule	Applies to	use
mask	Applies to	a
mask	Applies to	defs
mask	Applies to	glyph
mask	Applies to	g
mask	Applies to	marker
mask	Applies to	mask
mask	Applies to	missing-glyph
mask	Applies to	pattern
mask	Applies to	svg
mask	Applies to	switch
mask	Applies to	symbol
mask	Applies to	circle
mask	Applies to	ellipse
mask	Applies to	image
mask	Applies to	line
mask	Applies to	path
mask	Applies to	polygon
mask	Applies to	polyline
mask	Applies to	rect
mask	Applies to	text
mask	Applies to	use
opacity	Applies to	circle
opacity	Applies to	ellipse
opacity	Applies to	image
opacity	Applies to	line
opacity	Applies to	path
opacity	Applies to	polygon
opacity	Applies to	polyline
opacity	Applies to	rect
opacity	Applies to	text
opacity	Applies to	use
opacity	Applies to	a
opacity	Applies to	svg
opacity	Applies to	g
opacity	Applies to	defs
opacity	Applies to	symbol
opacity	Applies to	switch
opacity	Applies to	glyph
opacity	Applies to	missing-glyph
opacity	Applies to	pattern
opacity	Applies to	marker
fill	Applies to	path
fill	Applies to	rect
fill	Applies to	circle
fill	Applies to	ellipse
fill	Applies to	line
fill	Applies to	polyline
fill	Applies to	polygon
fill	Applies to	altGlyph
fill	Applies to	textPath
fill	Applies to	text
fill	Applies to	tref
fill	Applies to	tspan
fill-rule	Applies to	path
fill-rule	Applies to	rect
fill-rule	Applies to	circle
fill-rule	Applies to	ellipse
fill-rule	Applies to	line
fill-rule	Applies to	polyline
fill-rule	Applies to	polygon
fill-rule	Applies to	altGlyph
fill-rule	Applies to	textPath
fill-rule	Applies to	text
fill-rule	Applies to	tref
fill-rule	Applies to	tspan
fill-opacity	Applies to	path
fill-opacity	Applies to	rect
fill-opacity	Applies to	circle
fill-opacity	Applies to	ellipse
fill-opacity	Applies to	line
fill-opacity	Applies to	polyline
fill-opacity	Applies to	polygon
fill-opacity	Applies to	altGlyph
fill-opacity	Applies to	textPath
fill-opacity	Applies to	text
fill-opacity	Applies to	tref
fill-opacity	Applies to	tspan
stroke	Applies to	path
stroke	Applies to	rect
stroke	Applies to	circle
stroke	Applies to	ellipse
stroke	Applies to	line
stroke	Applies to	polyline
stroke	Applies to	polygon
stroke	Applies to	altGlyph
stroke	Applies to	textPath
stroke	Applies to	text
stroke	Applies to	tref
stroke	Applies to	tspan
stroke-width	Applies to	path
stroke-width	Applies to	rect
stroke-width	Applies to	circle
stroke-width	Applies to	ellipse
stroke-width	Applies to	line
stroke-width	Applies to	polyline
stroke-width	Applies to	polygon
stroke-width	Applies to	altGlyph
stroke-width	Applies to	textPath
stroke-width	Applies to	text
stroke-width	Applies to	tref
stroke-width	Applies to	tspan
stroke-linecap	Applies to	path
stroke-linecap	Applies to	rect
stroke-linecap	Applies to	circle
stroke-linecap	Applies to	ellipse
stroke-linecap	Applies to	line
stroke-linecap	Applies to	polyline
stroke-linecap	Applies to	polygon
stroke-linecap	Applies to	altGlyph
stroke-linecap	Applies to	textPath
stroke-linecap	Applies to	text
stroke-linecap	Applies to	tref
stroke-linecap	Applies to	tspan
stroke-linejoin	Applies to	path
stroke-linejoin	Applies to	rect
stroke-linejoin	Applies to	circle
stroke-linejoin	Applies to	ellipse
stroke-linejoin	Applies to	line
stroke-linejoin	Applies to	polyline
stroke-linejoin	Applies to	polygon
stroke-linejoin	Applies to	altGlyph
stroke-linejoin	Applies to	textPath
stroke-linejoin	Applies to	text
stroke-linejoin	Applies to	tref
stroke-linejoin	Applies to	tspan
stroke-miterlimit	Applies to	path
stroke-miterlimit	Applies to	rect
stroke-miterlimit	Applies to	circle
stroke-miterlimit	Applies to	ellipse
stroke-miterlimit	Applies to	line
stroke-miterlimit	Applies to	polyline
stroke-miterlimit	Applies to	polygon
stroke-miterlimit	Applies to	altGlyph
stroke-miterlimit	Applies to	textPath
stroke-miterlimit	Applies to	text
stroke-miterlimit	Applies to	tref
stroke-miterlimit	Applies to	tspan
stroke-dasharray	Applies to	path
stroke-dasharray	Applies to	rect
stroke-dasharray	Applies to	circle
stroke-dasharray	Applies to	ellipse
stroke-dasharray	Applies to	line
stroke-dasharray	Applies to	polyline
stroke-dasharray	Applies to	polygon
stroke-dasharray	Applies to	altGlyph
stroke-dasharray	Applies to	textPath
stroke-dasharray	Applies to	text
stroke-dasharray	Applies to	tref
stroke-dasharray	Applies to	tspan
stroke-dashoffset	Applies to	path
stroke-dashoffset	Applies to	rect
stroke-dashoffset	Applies to	circle
stroke-dashoffset	Applies to	ellipse
stroke-dashoffset	Applies to	line
stroke-dashoffset	Applies to	polyline
stroke-dashoffset	Applies to	polygon
stroke-dashoffset	Applies to	altGlyph
stroke-dashoffset	Applies to	textPath
stroke-dashoffset	Applies to	text
stroke-dashoffset	Applies to	tref
stroke-dashoffset	Applies to	tspan
stroke-opacity	Applies to	path
stroke-opacity	Applies to	rect
stroke-opacity	Applies to	circle
stroke-opacity	Applies to	ellipse
stroke-opacity	Applies to	line
stroke-opacity	Applies to	polyline
stroke-opacity	Applies to	polygon
stroke-opacity	Applies to	altGlyph
stroke-opacity	Applies to	textPath
stroke-opacity	Applies to	text
stroke-opacity	Applies to	tref
stroke-opacity	Applies to	tspan
display	Applies to	circle
display	Applies to	ellipse
display	Applies to	image
display	Applies to	line
display	Applies to	path
display	Applies to	polygon
display	Applies to	polyline
display	Applies to	rect
display	Applies to	text
display	Applies to	use
display	Applies to	svg
display	Applies to	g
display	Applies to	switch
display	Applies to	a
display	Applies to	foreignObject
display	Applies to	text
display	Applies to	tspan
display	Applies to	tref
display	Applies to	altGlyph
display	Applies to	textPath
visibility	Applies to	circle
visibility	Applies to	ellipse
visibility	Applies to	image
visibility	Applies to	line
visibility	Applies to	path
visibility	Applies to	polygon
visibility	Applies to	polyline
visibility	Applies to	rect
visibility	Applies to	text
visibility	Applies to	use
