attr	variable	value
stroke-dasharray	Media	visual
stroke-dasharray	Animatable	yes (non-additive)
stroke-dashoffset	Initial	0
stroke-dashoffset	Inherited	yes
stroke-dashoffset	Percentages	see prose
stroke-dashoffset	Media	visual
stroke-dashoffset	Animatable	yes
stroke-opacity	Initial	1
stroke-opacity	Inherited	yes
stroke-opacity	Percentages	N/A
stroke-opacity	Media	visual
stroke-opacity	Animatable	yes
display	Initial	inline
display	Inherited	no
display	Percentages	N/A
display	Media	all
display	Animatable	yes
visibility	Initial	visible
visibility	Inherited	yes
visibility	Percentages	N/A
visibility	Media	visual
visibility	Animatable	yes
marker properties	Initial	none
marker properties	Inherited	yes
marker properties	Percentages	N/A
marker properties	Media	visual
marker properties	Animatable	yes
marker	Initial	see individual properties
marker	Inherited	yes
marker	Percentages	N/A
marker	Media	visual
marker	Animatable	yes
color-interpolation	Initial	sRGB
color-interpolation	Inherited	yes
color-interpolation	Percentages	N/A
color-interpolation	Media	visual
color-interpolation	Animatable	yes
color-interpolation-filters	Initial	linearRGB
color-interpolation-filters	Inherited	yes
color-interpolation-filters	Percentages	N/A
color-interpolation-filters	Media	visual
color-interpolation-filters	Animatable	yes
color-rendering	Initial	auto
color-rendering	Inherited	yes
color-rendering	Percentages	N/A
color-rendering	Media	visual
color-rendering	Animatable	yes
shape-rendering	Initial	auto
shape-rendering	Inherited	yes
shape-rendering	Percentages	N/A
shape-rendering	Media	visual
shape-rendering	Animatable	yes
text-rendering	Initial	auto
text-rendering	Inherited	yes
text-rendering	Percentages	N/A
text-rendering	Media	visual
text-rendering	Animatable	yes
image-rendering	Initial	auto
image-rendering	Inherited	yes
image-rendering	Percentages	N/A
image-rendering	Media	visual
image-rendering	Animatable	yes
color	Initial	depends on user agent
color	Inherited	yes
color	Percentages	N/A
color	Media	visual
color	Animatable	yes
src descriptor definition for @color-profile	Initial	sRGB
src descriptor definition for @color-profile	Media	visual
name descriptor definition for @color-profile	Initial	undefined
name descriptor definition for @color-profile	Media	visual
rendering-intent descriptor definition for @color-profile	Initial	auto
rendering-intent descriptor definition for @color-profile	Media	visual
rendering-intent descriptor definition for @color-profile	Animatable	no
color-profile	Initial	auto
color-profile	Inherited	yes
color-profile	Percentages	N/A
color-profile	Media	visual
color-profile	Animatable	yes
pointer-events	Initial	visiblePainted
pointer-events	Inherited	yes
pointer-events	Percentages	N/A
pointer-events	Media	visual
pointer-events	Animatable	yes
cursor	Initial	auto
cursor	Inherited	yes
cursor	Percentages	N/A
cursor	Media	visual, interactive
cursor	Animatable	yes
filter	Initial	none
filter	Inherited	no
filter	Percentages	N/A
filter	Media	visual
filter	Animatable	yes
enable-background	Initial	accumulate
enable-background	Inherited	no
enable-background	Percentages	N/A
enable-background	Media	visual
enable-background	Animatable	no
lighting-color	Initial	white
lighting-color	Inherited	no
lighting-color	Percentages	N/A
lighting-color	Media	visual
lighting-color	Animatable	yes
flood-color	Initial	black
flood-color	Inherited	no
flood-color	Percentages	N/A
flood-color	Media	visual
flood-color	Animatable	yes
flood-opacity	Initial	1
flood-opacity	Inherited	no
flood-opacity	Percentages	N/A
flood-opacity	Media	visual
flood-opacity	Animatable	yes
stop-color	Initial	black
stop-color	Inherited	no
stop-color	Percentages	N/A
stop-color	Media	visual
stop-color	Animatable	yes
stop-opacity	Initial	1
stop-opacity	Inherited	no
stop-opacity	Percentages	N/A
stop-opacity	Media	visual
stop-opacity	Animatable	yes
