element	variable	value
clipPath	attr	conditional processing attributes:
clipPath	attr	core attributes:
clipPath	attr	presentation attributes:
clipPath	attr	class
clipPath	attr	style
clipPath	attr	externalResourcesRequired
clipPath	attr	transform
clipPath	attr	clipPathUnits
mask	category	Container Element
mask	content.model	animation elements:
mask	content.model	descriptive elements:
mask	content.model	shape elements:
mask	content.model	structural elements:
mask	content.model	gradient elements:
mask	content.model	a
mask	content.model	altGlyphDef
mask	content.model	clipPath
mask	content.model	color-profile
mask	content.model	cursor
mask	content.model	filter
mask	content.model	font
mask	content.model	font-face
mask	content.model	foreignObject
mask	content.model	image
mask	content.model	marker
mask	content.model	mask
mask	content.model	pattern
mask	content.model	script
mask	content.model	style
mask	content.model	switch
mask	content.model	text
mask	content.model	view
mask	attr	conditional processing attributes:
mask	attr	core attributes:
mask	attr	presentation attributes:
mask	attr	class
mask	attr	style
mask	attr	externalResourcesRequired
mask	attr	x
mask	attr	y
mask	attr	width
mask	attr	height
mask	attr	maskUnits
mask	attr	maskContentUnits
color-profile	category	Uncategorized Element
color-profile	content.model	descriptive elements:
color-profile	attr	core attributes:
color-profile	attr	xlink attributes:
color-profile	attr	local
color-profile	attr	name
color-profile	attr	rendering-intent
color-profile	attr	xlink:href
cursor	category	Uncategorized Element
cursor	content.model	descriptive elements:
cursor	attr	core attributes:
cursor	attr	conditional processing attributes:
cursor	attr	xlink attributes:
cursor	attr	externalResourcesRequired
cursor	attr	x
cursor	attr	y
cursor	attr	xlink:href
svg	category	Container Element
svg	category	Structural Element
svg	content.model	animation elements:
svg	content.model	descriptive elements:
svg	content.model	shape elements:
svg	content.model	structural elements:
svg	content.model	gradient elements:
svg	content.model	a
svg	content.model	altGlyphDef
svg	content.model	clipPath
svg	content.model	color-profile
svg	content.model	cursor
svg	content.model	filter
svg	content.model	font
svg	content.model	font-face
svg	content.model	foreignObject
svg	content.model	image
svg	content.model	marker
svg	content.model	mask
svg	content.model	pattern
svg	content.model	script
svg	content.model	style
svg	content.model	switch
svg	content.model	text
svg	content.model	view
svg	attr	conditional processing attributes:
svg	attr	core attributes:
svg	attr	document event attributes:
svg	attr	graphical event attributes:
svg	attr	presentation attributes:
svg	attr	class
svg	attr	style
svg	attr	externalResourcesRequired
svg	attr	x
svg	attr	y
svg	attr	width
svg	attr	height
svg	attr	viewBox
svg	attr	preserveAspectRatio
svg	attr	zoomAndPan
svg	attr	version
svg	attr	baseProfile
svg	attr	contentScriptType
svg	attr	contentStyleType
svg	attr	x
svg	attr	y
svg	attr	width
svg	attr	height
svg	attr	version
svg	attr	baseProfile
g	category	Container Element
g	category	Structural Element
g	content.model	animation elements:
g	content.model	descriptive elements:
g	content.model	shape elements:
g	content.model	structural elements:
g	content.model	gradient elements:
g	content.model	a
g	content.model	altGlyphDef
g	content.model	clipPath
g	content.model	color-profile
g	content.model	cursor
g	content.model	filter
g	content.model	font
g	content.model	font-face
g	content.model	foreignObject
g	content.model	image
g	content.model	marker
g	content.model	mask
g	content.model	pattern
g	content.model	script
g	content.model	style
g	content.model	switch
g	content.model	text
g	content.model	view
g	attr	conditional processing attributes:
g	attr	core attributes:
g	attr	graphical event attributes:
g	attr	presentation attributes:
g	attr	class
g	attr	style
g	attr	externalResourcesRequired
g	attr	transform
defs	category	Container Element
defs	category	Structural Element
defs	content.model	animation elements:
defs	content.model	descriptive elements:
defs	content.model	shape elements:
defs	content.model	structural elements:
defs	content.model	gradient elements:
defs	content.model	a
defs	content.model	altGlyphDef
defs	content.model	clipPath
defs	content.model	color-profile
defs	content.model	cursor
defs	content.model	filter
defs	content.model	font
defs	content.model	font-face
defs	content.model	foreignObject
defs	content.model	image
defs	content.model	marker
defs	content.model	mask
defs	content.model	pattern
defs	content.model	script
defs	content.model	style
defs	content.model	switch
defs	content.model	text
defs	content.model	view
defs	attr	conditional processing attributes:
defs	attr	core attributes:
defs	attr	graphical event attributes:
defs	attr	presentation attributes:
defs	attr	class
defs	attr	style
defs	attr	externalResourcesRequired
defs	attr	transform
desc	category	Descriptive Element
desc	content.model	Any elements or character data.
desc	attr	core attributes:
desc	attr	class
desc	attr	style
title	category	Descriptive Element
title	content.model	Any elements or character data.
title	attr	core attributes:
title	attr	class
title	attr	style
symbol	category	Container Element
symbol	category	Structural Element
symbol	content.model	animation elements:
symbol	content.model	descriptive elements:
symbol	content.model	shape elements:
symbol	content.model	structural elements:
symbol	content.model	gradient elements:
symbol	content.model	a
symbol	content.model	altGlyphDef
symbol	content.model	clipPath
symbol	content.model	color-profile
symbol	content.model	cursor
symbol	content.model	filter
symbol	content.model	font
symbol	content.model	font-face
symbol	content.model	foreignObject
symbol	content.model	image
symbol	content.model	marker
symbol	content.model	mask
symbol	content.model	pattern
symbol	content.model	script
symbol	content.model	style
symbol	content.model	switch
symbol	content.model	text
symbol	content.model	view
symbol	attr	core attributes:
symbol	attr	graphical event attributes:
symbol	attr	presentation attributes:
symbol	attr	class
symbol	attr	style
symbol	attr	externalResourcesRequired
symbol	attr	preserveAspectRatio
symbol	attr	viewBox
use	category	Graphics Element
use	category	Graphics Referencing Element
use	category	Structural Element
use	content.model	animation elements:
use	content.model	descriptive elements:
use	attr	core attributes:
use	attr	conditional processing attributes:
use	attr	graphical event attributes:
use	attr	presentation attributes:
use	attr	xlink attributes:
use	attr	class
use	attr	style
use	attr	externalResourcesRequired
use	attr	transform
use	attr	x
use	attr	y
use	attr	width
use	attr	height
use	attr	xlink:href
image	category	Graphics Element
image	category	Graphics Referencing Element
image	content.model	animation elements:
image	content.model	descriptive elements:
image	attr	core attributes:
image	attr	conditional processing attributes:
image	attr	graphical event attributes:
image	attr	xlink attributes:
image	attr	presentation attributes:
image	attr	class
image	attr	style
image	attr	externalResourcesRequired
image	attr	preserveAspectRatio
image	attr	transform
image	attr	x
image	attr	y
image	attr	width
image	attr	height
image	attr	xlink:href
switch	category	Container Element
switch	content.model	animation elements:
switch	content.model	descriptive elements:
switch	content.model	shape elements:
switch	content.model	a
switch	content.model	foreignObject
switch	content.model	g
switch	content.model	image
switch	content.model	svg
switch	content.model	switch
switch	content.model	text
switch	content.model	use
switch	attr	conditional processing attributes:
switch	attr	core attributes:
switch	attr	graphical event attributes:
switch	attr	presentation attributes:
switch	attr	class
switch	attr	style
switch	attr	externalResourcesRequired
switch	attr	transform
filter	category	Uncategorized Element
filter	content.model	descriptive elements:
filter	content.model	filter primitive elements:
filter	content.model	animate
filter	content.model	set
filter	attr	core attributes:
filter	attr	presentation attributes:
filter	attr	xlink attributes:
filter	attr	class
filter	attr	style
filter	attr	externalResourcesRequired
filter	attr	x
filter	attr	y
filter	attr	width
filter	attr	height
filter	attr	filterRes
filter	attr	filterUnits
filter	attr	primitiveUnits
filter	attr	xlink:href
feDistantLight	category	Light Source Element
feDistantLight	content.model	animate
feDistantLight	content.model	set
feDistantLight	attr	core attributes:
feDistantLight	attr	azimuth
feDistantLight	attr	elevation
fePointLight	category	Light Source Element
fePointLight	content.model	animate
fePointLight	content.model	set
fePointLight	attr	core attributes:
fePointLight	attr	x
fePointLight	attr	y
fePointLight	attr	z
feSpotLight	category	Light Source Element
feSpotLight	content.model	animate
feSpotLight	content.model	set
feSpotLight	attr	core attributes:
feSpotLight	attr	x
feSpotLight	attr	y
feSpotLight	attr	z
feSpotLight	attr	pointsAtX
feSpotLight	attr	pointsAtY
feSpotLight	attr	pointsAtZ
feSpotLight	attr	specularExponent
feSpotLight	attr	limitingConeAngle
feBlend	category	Filter Primitive Element
feBlend	content.model	animate
feBlend	content.model	set
feBlend	attr	core attributes:
feBlend	attr	presentation attributes:
feBlend	attr	filter primitive attributes:
feBlend	attr	class
feBlend	attr	style
feBlend	attr	in1
feBlend	attr	in2
feBlend	attr	mode
feColorMatrix	category	Filter Primitive Element
feColorMatrix	content.model	animate
feColorMatrix	content.model	set
feColorMatrix	attr	core attributes:
feColorMatrix	attr	presentation attributes:
feColorMatrix	attr	filter primitive attributes:
feColorMatrix	attr	class
feColorMatrix	attr	style
feColorMatrix	attr	in1
feColorMatrix	attr	type
feColorMatrix	attr	values
feComponentTransfer	category	Filter Primitive Element
feComponentTransfer	content.model	feFuncA
feComponentTransfer	content.model	feFuncB
feComponentTransfer	content.model	feFuncG
feComponentTransfer	content.model	feFuncR
feComponentTransfer	attr	core attributes:
feComponentTransfer	attr	presentation attributes:
feComponentTransfer	attr	filter primitive attributes:
feComponentTransfer	attr	class
feComponentTransfer	attr	style
feComponentTransfer	attr	in1
feFuncR	category	Uncategorized Element
feFuncR	content.model	animate
feFuncR	content.model	set
feFuncR	attr	core attributes:
feFuncR	attr	transfer function element attributes:
feFuncG	category	Uncategorized Element
feFuncG	content.model	animate
feFuncG	content.model	set
feFuncG	attr	core attributes:
feFuncG	attr	transfer function element attributes:
feFuncB	category	Uncategorized Element
feFuncB	content.model	animate
feFuncB	content.model	set
feFuncB	attr	core attributes:
feFuncB	attr	transfer function element attributes:
feFuncA	category	Uncategorized Element
feFuncA	content.model	animate
feFuncA	content.model	set
feFuncA	attr	core attributes:
feFuncA	attr	transfer function element attributes:
feComposite	category	Filter Primitive Element
feComposite	content.model	animate
feComposite	content.model	set
feComposite	attr	core attributes:
feComposite	attr	presentation attributes:
feComposite	attr	filter primitive attributes:
feComposite	attr	class
feComposite	attr	style
feComposite	attr	in1
feComposite	attr	in2
feComposite	attr	operator
feComposite	attr	k1
feComposite	attr	k2
feComposite	attr	k3
feComposite	attr	k4
feConvolveMatrix	category	Filter Primitive Element
feConvolveMatrix	content.model	animate
feConvolveMatrix	content.model	set
feConvolveMatrix	attr	core attributes:
feConvolveMatrix	attr	presentation attributes:
feConvolveMatrix	attr	filter primitive attributes:
feConvolveMatrix	attr	class
feConvolveMatrix	attr	style
feConvolveMatrix	attr	in1
feConvolveMatrix	attr	order
feConvolveMatrix	attr	kernelMatrix
feConvolveMatrix	attr	divisor
feConvolveMatrix	attr	bias
feConvolveMatrix	attr	targetX
feConvolveMatrix	attr	targetY
feConvolveMatrix	attr	edgeMode
feConvolveMatrix	attr	kernelUnitLength
feConvolveMatrix	attr	preserveAlpha
feDiffuseLighting	category	Filter Primitive Element
feDiffuseLighting	content.model	descriptive elements:
feDiffuseLighting	content.model	light source elements:
feDiffuseLighting	attr	core attributes:
feDiffuseLighting	attr	presentation attributes:
feDiffuseLighting	attr	filter primitive attributes:
feDiffuseLighting	attr	class
feDiffuseLighting	attr	style
feDiffuseLighting	attr	in1
feDiffuseLighting	attr	surfaceScale
feDiffuseLighting	attr	diffuseConstant
feDiffuseLighting	attr	kernelUnitLength
feDisplacementMap	category	Filter Primitive Element
feDisplacementMap	content.model	animate
feDisplacementMap	content.model	set
feDisplacementMap	attr	core attributes:
feDisplacementMap	attr	presentation attributes:
feDisplacementMap	attr	filter primitive attributes:
feDisplacementMap	attr	class
feDisplacementMap	attr	style
feDisplacementMap	attr	in1
feDisplacementMap	attr	in2
feDisplacementMap	attr	scale
feDisplacementMap	attr	xChannelSelector
feDisplacementMap	attr	yChannelSelector
feFlood	category	Filter Primitive Element
feFlood	content.model	animate
feFlood	content.model	animateColor
feFlood	content.model	set
feFlood	attr	core attributes:
feFlood	attr	presentation attributes:
feFlood	attr	filter primitive attributes:
feFlood	attr	class
feFlood	attr	style
feGaussianBlur	category	Filter Primitive Element
feGaussianBlur	content.model	animate
feGaussianBlur	content.model	set
feGaussianBlur	attr	core attributes:
feGaussianBlur	attr	presentation attributes:
feGaussianBlur	attr	filter primitive attributes:
feGaussianBlur	attr	class
feGaussianBlur	attr	style
feGaussianBlur	attr	in1
feGaussianBlur	attr	stdDeviation
feImage	category	Filter Primitive Element
feImage	content.model	animate
feImage	content.model	animateTransform
feImage	content.model	set
feImage	attr	core attributes:
feImage	attr	presentation attributes:
feImage	attr	filter primitive attributes:
feImage	attr	xlink attributes:
feImage	attr	class
feImage	attr	style
feImage	attr	externalResourcesRequired
feImage	attr	preserveAspectRatio
feImage	attr	xlink:href
feMerge	category	Filter Primitive Element
feMerge	content.model	feMergeNode
feMerge	attr	core attributes:
feMerge	attr	presentation attributes:
feMerge	attr	filter primitive attributes:
feMerge	attr	class
feMerge	attr	style
feMergeNode	category	Uncategorized Element
feMergeNode	content.model	animate
feMergeNode	content.model	set
feMergeNode	attr	core attributes:
feMergeNode	attr	in1
feMorphology	category	Filter Primitive Element
feMorphology	content.model	animate
feMorphology	content.model	set
feMorphology	attr	core attributes:
feMorphology	attr	presentation attributes:
feMorphology	attr	filter primitive attributes:
feMorphology	attr	class
feMorphology	attr	style
feMorphology	attr	in1
feMorphology	attr	operator
feMorphology	attr	radius
feOffset	category	Filter Primitive Element
feOffset	content.model	animate
feOffset	content.model	set
feOffset	attr	core attributes:
feOffset	attr	presentation attributes:
feOffset	attr	filter primitive attributes:
feOffset	attr	class
feOffset	attr	style
feOffset	attr	in1
feOffset	attr	dx
feOffset	attr	dy
feSpecularLighting	category	Filter Primitive Element
feSpecularLighting	content.model	descriptive elements:
feSpecularLighting	content.model	light source elements:
feSpecularLighting	attr	core attributes:
feSpecularLighting	attr	presentation attributes:
feSpecularLighting	attr	filter primitive attributes:
feSpecularLighting	attr	class
feSpecularLighting	attr	style
feSpecularLighting	attr	in1
feSpecularLighting	attr	surfaceScale
feSpecularLighting	attr	specularConstant
feSpecularLighting	attr	specularExponent
feSpecularLighting	attr	kernelUnitLength
feTile	category	Filter Primitive Element
feTile	content.model	animate
feTile	content.model	set
feTile	attr	core attributes:
feTile	attr	presentation attributes:
feTile	attr	filter primitive attributes:
feTile	attr	class
feTile	attr	style
feTile	attr	in1
feTurbulence	category	Filter Primitive Element
feTurbulence	content.model	animate
feTurbulence	content.model	set
feTurbulence	attr	core attributes:
feTurbulence	attr	presentation attributes:
feTurbulence	attr	filter primitive attributes:
feTurbulence	attr	class
feTurbulence	attr	style
feTurbulence	attr	baseFrequency
feTurbulence	attr	numOctaves
feTurbulence	attr	seed
feTurbulence	attr	stitchTiles
feTurbulence	attr	type
font	category	Uncategorized Element
font	content.model	descriptive elements:
font	content.model	font-face
font	content.model	glyph
font	content.model	hkern
font	content.model	missing-glyph
font	content.model	vkern
font	attr	core attributes:
font	attr	presentation attributes:
font	attr	class
font	attr	style
font	attr	externalResourcesRequired
font	attr	horiz-origin-x
font	attr	horiz-origin-y
font	attr	horiz-adv-x
font	attr	vert-origin-x
font	attr	vert-origin-y
font	attr	vert-adv-y
glyph	category	Container Element
glyph	content.model	animation elements:
glyph	content.model	descriptive elements:
glyph	content.model	shape elements:
glyph	content.model	structural elements:
glyph	content.model	gradient elements:
glyph	content.model	a
glyph	content.model	altGlyphDef
glyph	content.model	clipPath
glyph	content.model	color-profile
glyph	content.model	cursor
glyph	content.model	filter
glyph	content.model	font
glyph	content.model	font-face
glyph	content.model	foreignObject
glyph	content.model	image
glyph	content.model	marker
glyph	content.model	mask
glyph	content.model	pattern
glyph	content.model	script
glyph	content.model	style
glyph	content.model	switch
glyph	content.model	text
glyph	content.model	view
glyph	attr	core attributes:
glyph	attr	presentation attributes:
glyph	attr	class
glyph	attr	style
glyph	attr	d
glyph	attr	horiz-adv-x
glyph	attr	vert-origin-x
glyph	attr	vert-origin-y
glyph	attr	vert-adv-y
glyph	attr	unicode
glyph	attr	glyph-name
glyph	attr	orientation
glyph	attr	arabic-form
glyph	attr	lang
missing-glyph	category	Container Element
missing-glyph	content.model	animation elements:
missing-glyph	content.model	descriptive elements:
missing-glyph	content.model	shape elements:
missing-glyph	content.model	structural elements:
missing-glyph	content.model	gradient elements:
missing-glyph	content.model	a
missing-glyph	content.model	altGlyphDef
missing-glyph	content.model	clipPath
missing-glyph	content.model	color-profile
missing-glyph	content.model	cursor
missing-glyph	content.model	filter
missing-glyph	content.model	font
missing-glyph	content.model	font-face
missing-glyph	content.model	foreignObject
missing-glyph	content.model	image
missing-glyph	content.model	marker
missing-glyph	content.model	mask
missing-glyph	content.model	pattern
missing-glyph	content.model	script
missing-glyph	content.model	style
missing-glyph	content.model	switch
missing-glyph	content.model	text
missing-glyph	content.model	view
missing-glyph	attr	core attributes:
missing-glyph	attr	presentation attributes:
missing-glyph	attr	class
missing-glyph	attr	style
missing-glyph	attr	d
missing-glyph	attr	horiz-adv-x
missing-glyph	attr	vert-origin-x
missing-glyph	attr	vert-origin-y
missing-glyph	attr	vert-adv-y
hkern	category	Uncategorized Element
hkern	content.model	Empty.
hkern	attr	core attributes:
hkern	attr	u1
hkern	attr	g1
hkern	attr	u2
hkern	attr	g2
hkern	attr	k
vkern	category	Uncategorized Element
vkern	content.model	Empty.
vkern	attr	core attributes:
vkern	attr	u1
vkern	attr	g1
vkern	attr	u2
vkern	attr	g2
vkern	attr	k
font-face	category	Uncategorized Element
font-face	content.model	descriptive elements:
font-face	content.model	font-face-src
font-face	attr	core attributes:
font-face	attr	font-family
font-face	attr	font-style
font-face	attr	font-variant
font-face	attr	font-weight
font-face	attr	font-stretch
font-face	attr	font-size
font-face	attr	unicode-range
font-face	attr	units-per-em
font-face	attr	panose-1
font-face	attr	stemv
font-face	attr	stemh
font-face	attr	slope
font-face	attr	cap-height
font-face	attr	x-height
font-face	attr	accent-height
font-face	attr	ascent
font-face	attr	descent
font-face	attr	widths
font-face	attr	bbox
font-face	attr	ideographic
font-face	attr	alphabetic
font-face	attr	mathematical
font-face	attr	hanging
font-face	attr	v-ideographic
font-face	attr	v-alphabetic
font-face	attr	v-mathematical
font-face	attr	v-hanging
font-face	attr	underline-position
font-face	attr	underline-thickness
font-face	attr	strikethrough-position
font-face	attr	strikethrough-thickness
font-face	attr	overline-position
font-face	attr	overline-thickness
font-face-src	category	Uncategorized Element
font-face-src	content.model	font-face-name
font-face-src	content.model	font-face-uri
font-face-src	attr	core attributes:
font-face-uri	category	Uncategorized Element
font-face-uri	content.model	font-face-format
font-face-uri	attr	core attributes:
font-face-uri	attr	xlink attributes:
font-face-uri	attr	xlink:href
font-face-format	category	Uncategorized Element
font-face-format	content.model	Empty.
font-face-format	attr	core attributes:
font-face-format	attr	string
font-face-name	category	Uncategorized Element
font-face-name	content.model	Empty.
font-face-name	attr	core attributes:
font-face-name	attr	name
foreignObject	category	Uncategorized Element
foreignObject	content.model	Any elements or character data.
foreignObject	attr	core attributes:
foreignObject	attr	conditional processing attributes:
foreignObject	attr	graphical event attributes:
foreignObject	attr	presentation attributes:
foreignObject	attr	class
foreignObject	attr	style
foreignObject	attr	externalResourcesRequired
foreignObject	attr	transform
foreignObject	attr	x
foreignObject	attr	y
foreignObject	attr	width
foreignObject	attr	height
linearGradient	category	Gradient Element
linearGradient	content.model	descriptive elements:
linearGradient	content.model	animate
linearGradient	content.model	animateTransform
linearGradient	content.model	set
linearGradient	content.model	stop
linearGradient	attr	core attributes:
linearGradient	attr	presentation attributes:
linearGradient	attr	xlink attributes:
linearGradient	attr	class
linearGradient	attr	style
linearGradient	attr	externalResourcesRequired
linearGradient	attr	x1
linearGradient	attr	y1
linearGradient	attr	x2
linearGradient	attr	y2
linearGradient	attr	gradientUnits
linearGradient	attr	gradientTransform
linearGradient	attr	spreadMethod
