"no.","LaTeX","requirements"
"02035","\backprime","MnSymbol, amssymb, kmath, kpfonts, mathdesign, oz, pxfonts, txfonts"
"02036",""," "
"02037",""," "
"02038",""," "
"0203B",""," "
"0203C",""," "
"02040","\cat","oz"
"02043",""," "
"02044",""," "
"02047",""," "
"0204E",""," "
"0204F",""," "
"02050",""," "
"02051",""," "
"02052",""," "
"02057","\fourth","mathabx"
"0205F","\:","*"
"02061",""," "
"02062",""," "
"02063",""," "
"02064",""," "
"0207A",""," "
"0207B",""," "
"0207C",""," "
"0207D",""," "
"0207E",""," "
"0208A",""," "
"0208B",""," "
"0208C",""," "
"0208D",""," "
"0208E",""," "
"020AC",""," "
"020D0","\lvec","wrisym"
"020D1","\vec","wrisym"
"020D2",""," "
"020D3",""," "
"020D4",""," "
"020D6","\LVec","wrisym"
"020D7","\vec","-wrisym"
"020D8",""," "
"020D9",""," "
"020DA",""," "
"020DB","\dddot","amsmath, kpfonts"
"020DC","\ddddot","amsmath, kpfonts"
"020DD",""," "
"020DE",""," "
"020DF",""," "
"020E1","\overleftrightarrow","amsmath, kpfonts"
"020E4",""," "
"020E5",""," "
"020E6",""," "
"020E7",""," "
"020E8",""," "
"020E9",""," "
"020EA",""," "
"020EB",""," "
"020EC",""," "
"020ED",""," "
"020EE","\underleftarrow","amsmath, kpfonts"
"020EF","\underrightarrow","amsmath, kpfonts"
"020F0",""," "
"02102","\mathbb{C}","amsfonts, amssymb, bbold, fourier, fouriernc, kmath, kpfonts, mathbb, mathbbol, mathdesign, mathpazo, oz, pxfonts, txfonts"
"02107","\Euler","wrisym"
"0210A","\mathcal{g}","urwchancal, wrisym"
"0210B","\mathcal{H}","*"
"0210C","\mathfrak{H}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"0210D","\mathbb{H}","amsfonts, amssymb, bbold, fourier, fouriernc, kmath, kpfonts, mathbb, mathbbol, mathdesign, mathpazo, oz, pxfonts, txfonts"
"0210E",""," "
"0210F","\hslash","MnSymbol, amssymb, arevmath, fourier, fouriernc, kmath, kpfonts, mathdesign, oz, pxfonts, txfonts"
"02110","\mathcal{I}","*"
"02111","\Im","*"
"02112","\mathcal{L}","*"
"02113","\ell","*"
"02115","\mathbb{N}","amsfonts, amssymb, bbold, fourier, fouriernc, kmath, kpfonts, mathbb, mathbbol, mathdesign, mathpazo, oz, pxfonts, txfonts"
"02118","\wp","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"02119","\mathbb{P}","amsfonts, amssymb, bbold, fourier, fouriernc, kmath, kpfonts, mathbb, mathbbol, mathdesign, mathpazo, oz, pxfonts, txfonts"
"0211A","\mathbb{Q}","amsfonts, amssymb, bbold, fourier, fouriernc, kmath, kpfonts, mathbb, mathbbol, mathdesign, mathpazo, oz, pxfonts, txfonts"
"0211B","\mathcal{R}","*"
"0211C","\Re","*"
"0211D","\mathbb{R}","amsfonts, amssymb, bbold, fourier, fouriernc, kmath, kpfonts, mathbb, mathbbol, mathdesign, mathpazo, oz, pxfonts, txfonts"
"02124","\mathbb{Z}","amsfonts, amssymb, bbold, fourier, fouriernc, kmath, kpfonts, mathbb, mathbbol, mathdesign, mathpazo, oz, pxfonts, txfonts"
"02126","\tcohm","mathcomp"
"02127","\mho","amsfonts, amssymb, arevmath, kmath, kpfonts, mathdesign, oz, pxfonts, txfonts"
"02128","\mathfrak{Z}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"02129",""," "
"0212B","\Angstroem","wrisym"
"0212C","\mathcal{B}","*"
"0212D","\mathfrak{C}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"0212F","\mathcal{e}","urwchancal, wrisym"
"02130","\mathcal{E}","*"
"02131","\mathcal{F}","*"
"02132","\Finv","amssymb, kmath, kpfonts, mathabx, mathdesign, pxfonts, txfonts"
"02133","\mathcal{M}","*"
"02134","\mathcal{o}","urwchancal, wrisym"
"02135","\aleph","*"
"02136","\beth","MnSymbol, amssymb, kmath, kpfonts, mathdesign, oz, pxfonts, txfonts, wrisym"
"02137","\gimel","MnSymbol, amssymb, kmath, kpfonts, mathdesign, oz, pxfonts, txfonts, wrisym"
"02138","\daleth","MnSymbol, amssymb, kmath, kpfonts, mathdesign, oz, pxfonts, txfonts, wrisym"
"0213C","\mathbb{pi}","bbold, mathbbol"
"0213D","\mathbb{gamma}","bbold, mathbbol"
"0213E","\mathbb{Gamma}","bbold, mathbbol"
"0213F","\mathbb{Pi}","bbold, mathbbol"
"02140","\mathbb{Sigma}","bbold, mathbbol"
"02141",""," "
"02142",""," "
"02143",""," "
"02144","\Yup","stmaryrd"
"02145","\CapitalDifferentialD","wrisym"
"02146","\DifferentialD","wrisym"
"02147","\ExponetialE","wrisym"
"02148","\ComplexI","wrisym"
"02149","\ComplexJ","wrisym"
"0214A",""," "
"0214B","\invamp","kmath, pxfonts, txfonts"
"02190","\leftarrow","*"
"02191","\uparrow","*"
"02192","\rightarrow","*"
"02193","\downarrow","*"
"02194","\leftrightarrow","-wrisym"
"02195","\updownarrow","*"
"02196","\nwarrow","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"02197","\nearrow","*"
"02198","\searrow","*"
"02199","\swarrow","*"
"0219A","\nleftarrow","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"0219B","\nrightarrow","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"0219C",""," "
"0219D",""," "
"0219E","\twoheadleftarrow","MnSymbol, amssymb, kmath, kpfonts, mathdesign, oz, pxfonts, txfonts"
"0219F",""," "
"021A0","\twoheadrightarrow","MnSymbol, amssymb, kmath, kpfonts, mathdesign, oz, pxfonts, txfonts"
"021A1",""," "
"021A2","\leftarrowtail","MnSymbol, amssymb, kmath, kpfonts, mathdesign, oz, pxfonts, txfonts"
"021A3","\rightarrowtail","MnSymbol, amssymb, kmath, kpfonts, mathdesign, oz, pxfonts, txfonts"
"021A4","\mapsfrom","stmaryrd"
"021A5","\MapsUp","wrisym"
"021A6","\mapsto","*"
"021A7","\MapsDown","wrisym"
"021A8",""," "
"021A9","\hookleftarrow","*"
"021AA","\hookrightarrow","*"
"021AB","\looparrowleft","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"021AC","\looparrowright","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"021AD","\leftrightsquigarrow","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"021AE","\nleftrightarrow","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"021AF","\lightning","stmaryrd"
"021B0","\Lsh","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"021B1","\Rsh","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"021B2","\dlsh","mathabx"
"021B3","\drsh","mathabx"
"021B4",""," "
"021B5",""," "
"021B6","\curvearrowleft","MnSymbol, amssymb, fourier, fouriernc, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"021B7","\curvearrowright","MnSymbol, amssymb, fourier, fouriernc, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"021B8",""," "
"021B9",""," "
"021BA","\circlearrowleft","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"021BB","\circlearrowright","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"021BC","\leftharpoonup","*"
"021BD","\leftharpoondown","*"
"021BE","\upharpoonright","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"021BF","\upharpoonleft","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"021C0","\rightharpoonup","*"
"021C1","\rightharpoondown","*"
"021C2","\downharpoonright","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"021C3","\downharpoonleft","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"021C4","\rightleftarrows","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"021C5","\updownarrows","mathabx"
