"Position","Decimal","Name","Appearance"
"0x03E5","997","COPTIC SMALL LETTER FEI","ϥ"
"0x03E6","998","COPTIC CAPITAL LETTER KHEI","Ϧ"
"0x03E7","999","COPTIC SMALL LETTER KHEI","ϧ"
"0x03E8","1000","COPTIC CAPITAL LETTER HORI","Ϩ"
"0x03E9","1001","COPTIC SMALL LETTER HORI","ϩ"
"0x03EA","1002","COPTIC CAPITAL LETTER GANGIA","Ϫ"
"0x03EB","1003","COPTIC SMALL LETTER GANGIA","ϫ"
"0x03EC","1004","COPTIC CAPITAL LETTER SHIMA","Ϭ"
"0x03ED","1005","COPTIC SMALL LETTER SHIMA","ϭ"
"0x03EE","1006","COPTIC CAPITAL LETTER DEI","Ϯ"
"0x03EF","1007","COPTIC SMALL LETTER DEI","ϯ"
"0x03F0","1008","GREEK KAPPA SYMBOL","ϰ"
"0x03F1","1009","GREEK RHO SYMBOL","ϱ"
"0x03F2","1010","GREEK LUNATE SIGMA SYMBOL","ϲ"
"0x03F3","1011","GREEK LETTER YOT","ϳ"
