"Position","Decimal","Name","Appearance"
"0x2360","9056","APL FUNCTIONAL SYMBOL QUAD COLON","⍠"
"0x2361","9057","APL FUNCTIONAL SYMBOL UP TACK DIAERESIS","⍡"
"0x2362","9058","APL FUNCTIONAL SYMBOL DEL DIAERESIS","⍢"
"0x2363","9059","APL FUNCTIONAL SYMBOL STAR DIAERESIS","⍣"
"0x2364","9060","APL FUNCTIONAL SYMBOL JOT DIAERESIS","⍤"
"0x2365","9061","APL FUNCTIONAL SYMBOL CIRCLE DIAERESIS","⍥"
"0x2366","9062","APL FUNCTIONAL SYMBOL DOWN SHOE STILE","⍦"
"0x2367","9063","APL FUNCTIONAL SYMBOL LEFT SHOE STILE","⍧"
"0x2368","9064","APL FUNCTIONAL SYMBOL TILDE DIAERESIS","⍨"
"0x2369","9065","APL FUNCTIONAL SYMBOL GREATER-THAN DIAERESIS","⍩"
"0x236A","9066","APL FUNCTIONAL SYMBOL COMMA BAR","⍪"
"0x236B","9067","APL FUNCTIONAL SYMBOL DEL TILDE","⍫"
"0x236C","9068","APL FUNCTIONAL SYMBOL ZILDE","⍬"
"0x236D","9069","APL FUNCTIONAL SYMBOL STILE TILDE","⍭"
"0x236E","9070","APL FUNCTIONAL SYMBOL SEMICOLON UNDERBAR","⍮"
"0x236F","9071","APL FUNCTIONAL SYMBOL QUAD NOT EQUAL","⍯"
"0x2370","9072","APL FUNCTIONAL SYMBOL QUAD QUESTION","⍰"
"0x2371","9073","APL FUNCTIONAL SYMBOL DOWN CARET TILDE","⍱"
"0x2372","9074","APL FUNCTIONAL SYMBOL UP CARET TILDE","⍲"
"0x2373","9075","APL FUNCTIONAL SYMBOL IOTA","⍳"
"0x2374","9076","APL FUNCTIONAL SYMBOL RHO","⍴"
"0x2375","9077","APL FUNCTIONAL SYMBOL OMEGA","⍵"
"0x2376","9078","APL FUNCTIONAL SYMBOL ALPHA UNDERBAR","⍶"
"0x2377","9079","APL FUNCTIONAL SYMBOL EPSILON UNDERBAR","⍷"
"0x2378","9080","APL FUNCTIONAL SYMBOL IOTA UNDERBAR","⍸"
"0x2379","9081","APL FUNCTIONAL SYMBOL OMEGA UNDERBAR","⍹"
"0x237A","9082","APL FUNCTIONAL SYMBOL ALPHA","⍺"
"0x237B","9083","NOT CHECK MARK","⍻"
"0x237D","9085","SHOULDERED OPEN BOX","⍽"
"0x237E","9086","BELL SYMBOL","⍾"
"0x237F","9087","VERTICAL LINE WITH MIDDLE DOT","⍿"
"0x2380","9088","INSERTION SYMBOL","⎀"
"0x2381","9089","CONTINUOUS UNDERLINE SYMBOL","⎁"
"0x2382","9090","DISCONTINUOUS UNDERLINE SYMBOL","⎂"
"0x2383","9091","EMPHASIS SYMBOL","⎃"
"0x2384","9092","COMPOSITION SYMBOL","⎄"
"0x2385","9093","WHITE SQUARE WITH CENTRE VERTICAL LINE","⎅"
"0x2386","9094","ENTER SYMBOL","⎆"
"0x2387","9095","ALTERNATIVE KEY SYMBOL","⎇"
"0x2388","9096","HELM SYMBOL","⎈"
"0x2389","9097","CIRCLED HORIZONTAL BAR WITH NOTCH","⎉"
"0x238A","9098","CIRCLED TRIANGLE DOWN","⎊"
"0x238B","9099","BROKEN CIRCLE WITH NORTHWEST ARROW","⎋"
"0x238C","9100","UNDO SYMBOL","⎌"
"0x238D","9101","MONOSTABLE SYMBOL","⎍"
"0x238E","9102","HYSTERESIS SYMBOL","⎎"
"0x238F","9103","OPEN-CIRCUIT-OUTPUT H-TYPE SYMBOL","⎏"
"0x2390","9104","OPEN-CIRCUIT-OUTPUT L-TYPE SYMBOL","⎐"
"0x2391","9105","PASSIVE-PULL-DOWN-OUTPUT SYMBOL","⎑"
"0x2392","9106","PASSIVE-PULL-UP-OUTPUT SYMBOL","⎒"
"0x2393","9107","DIRECT CURRENT SYMBOL FORM TWO","⎓"
"0x2394","9108","SOFTWARE-FUNCTION SYMBOL","⎔"
"0x2395","9109","APL FUNCTIONAL SYMBOL QUAD","⎕"
"0x2396","9110","DECIMAL SEPARATOR KEY SYMBOL","⎖"
"0x2397","9111","PREVIOUS PAGE","⎗"
"0x2398","9112","NEXT PAGE","⎘"
"0x2399","9113","PRINT SCREEN SYMBOL","⎙"
"0x239A","9114","CLEAR SCREEN SYMBOL","⎚"
